,title,description
57,era open innovation,in deceptively casual charles leadbeater weave tight argument innovation just professional anymore passionate amateur use new tool be create product paradigm company ca
58,a dance symbiosis,two pilobolus dancer perform symbiosis do trace birth relationship or symbiotic specie music god music george crumb fratres arvo part morango almost tango thomas oboe lee
59,four american character,writer actor anna deavere smith give life author stud terkel convict paulette jenkins korean shopkeeper bull rider excerpt her solo show on road a search american character
60,everyday invention,inventor macarthur fellow saul griffith share some innovative idea lab smart rope kite tow large load
61,unleash your creativity fab lab,mit professor neil gershenfeld talk fab lab lab let people build thing they need use digital analog tool it simple idea powerful result
62,in praise slowness,journalist carl honore believe western world emphasis speed erode health productivity quality life but there backlash brew a everyday people start put brake their live
63,my wish rebuild rwanda,accept ted prize bill clinton ask help bring health care rwanda rest world
64,my wish build encyclopedia life,a wilson accept ted prize make plea behalf all creature learn more our biosphere build network encyclopedia all world knowledge life
65,my wish let my photograph bear witness,accept ted prize war photographer jam nachtwey show life work ask ted help him continue tell story innovative excite use news photography digital era
66,what separate u chimpanzee,jane goodall have find miss link but she come closer than nearly anyone else primatologist say only real difference between human chimp our sophisticate language she urge u start use change world
67,how get your idea spread,in world too many option too little time our obvious choice just ignore ordinary stuff market guru seth godin spell out why when come get our attention bad or bizarre idea be more successful than bore one
68,how discover dna,nobel laureate jam watson open frank funny story research partner francis crick discover structure dna
69,visual illusion show mi think,al seckel cognitive neuroscientist explore perceptual illusion fool our brain load eye trick help him prove not only be easily fool kind like
70,to invent give,inventor dean kamen lay out argument segway offer peek into next big idea portable energy water purification develop country
71,life code will reshape future,scientific discovery futurist juan enriquez note demand shift code our ability thrive depend our mastery code here apply notion field genomics
72,happiness by design,graphic designer stefan sagmeister take audience whimsical journey through moment life make him happy note many these moment have do good design
73,route sustainable future,founder alex steffen argue reduce humanity s ecological footprint incredibly vital now a western consumer lifestyle spread develop country
74,how architecture can connect u,architect thom mayne have never be one take easy option tour build create make glad these be big idea cast material form
75,great car be great art,american designer chris bangle explain philosophy car design an art form it own right an entertain ultimately move account bmw group deep blue project intend create suv future
76,sing what i want,nora york give stun performance her song what i want jamie lawrence keyboard steve tarshis guitar arthur kell bass
77,design detail,show series inspire unusual playful product british brand design guru paul bennett explain design do have be grand gesture but can solve small universal overlook problem
78,art wire sugar chocolate string,vik muniz make art pretty much anything be shred paper wire cloud or diamond here describe think behind work take u tour incredible image
79,a philosophical quest our biggest problem,oxford philosopher transhumanist nick bostrom examine future humankind ask whether might alter fundamental nature humanity solve our most intrinsic problem
80,biomimicry surprise lesson nature engineer,in inspire recent development biomimicry janine benyus provide hearten example way which nature already influence product system build
81,sample ocean dna,genomics pioneer craig venter take break epic expedition million gene team have discover so far it quest map ocean biodiversity
