,title,description
61,unleash creativity fab lab,mit professor neil gershenfeld talk fab lab lab let people build thing need use digital analog tool simple idea powerful result
62,praise slowness,journalist carl honore believe western world emphasis speed erode health productivity quality life backlash brew everyday people start put brake live
63,wish rebuild rwanda,accept ted prize bill clinton ask help bring health care rwanda rest world
64,wish build encyclopedia life,wilson accept ted prize make plea behalf creature learn biosphere build network encyclopedia world knowledge life
65,wish let photograph bear witness,accept ted prize war photographer jam nachtwey show life work ask ted help continue tell story innovative excite use news photography digital era
66,separate u chimpanzee,jane goodall find miss link come closer nearly anyone else primatologist say real difference human chimp sophisticate language urge u start use change world
67,get idea spread,world many option little time obvious choice ignore ordinary stuff market guru seth godin spell come get attention bad bizarre idea successful bore one
68,discover dna,nobel laureate jam watson open frank funny story research partner francis crick discover structure dna
69,visual illusion show mi think,al seckel cognitive neuroscientist explore perceptual illusion fool brain load eye trick help prove easily fool kind like
70,invent give,inventor dean kamen lay argument segway offer peek next big idea portable energy water purification develop country
71,life code reshape future,scientific discovery futurist juan enriquez note demand shift code ability thrive depend mastery code apply notion field genomics
72,happiness design,graphic designer stefan sagmeister take audience whimsical journey moment life make happy note many moment good design
73,route sustainable future,founder alex steffen argue reduce humanity ecological footprint incredibly vital western consumer lifestyle spread develop country
74,architecture connect u,architect thom mayne never one take easy option tour build create make glad big idea cast material form
75,great car great art,american designer chris bangle explain philosophy car design art form right entertain ultimately move account bmw group deep blue project intend create suv future
76,sing want,nora york give stun performance song want jamie lawrence keyboard steve tarshis guitar arthur kell bass
77,design detail,show series inspire unusual playful product british brand design guru paul bennett explain design grand gesture solve small universal overlook problem
78,art wire sugar chocolate string,vik muniz make art pretty much anything shred paper wire cloud diamond describe think behind work take u tour incredible image
79,philosophical quest biggest problem,oxford philosopher transhumanist nick bostrom examine future humankind ask whether might alter fundamental nature humanity solve intrinsic problem
80,biomimicry surprise lesson nature engineer,inspire talk recent development biomimicry janine benyus provide hearten example way nature already influence product system build
81,sample ocean dna,genomics pioneer craig venter take break epic expedition talk million gene team discover far quest map ocean biodiversity
82,software art,engineer artist golan levin push boundary possible audiovisual technology amaze ted display show two program write perform original composition
83,gentle genius bonobo,work bonobo ape understand speak language learn task watch force audience rethink much specie determine biology much cultural exposure
84,story life photograph,stun slideshow celebrate nature photographer frans lanting present life project poetic collection photograph tell story planet eruptive beginning present diversity soundtrack philip glass
85,shrimp kick,biologist sheila patek talk work measure feed strike mantis shrimp one fastest movement animal world use video camera record frame per second
86,global warm theme song manhattan january,happy song global warm jill sobule
87,cast spell cello,caroline lavelle play cello like sorceress cast spell occasionally hide behind wild mane blond hair sing pastoral theme perform farther sun back thomas dolby keyboard
88,illusion consciousness,philosopher dan dennett make compel argument understand consciousness half time brain actively fool u
89,truly listen,soar demonstration deaf percussionist evelyn glennie illustrate listen music involve much simply let sound wave hit eardrum
90,cradle cradle design,architect designer william mcdonough ask build product would look like designer take account child specie time
91,electricity metaphor web future,boom bust often compare gold rush founder jeff bezos say like early day electric industry
92,mockingbird remix,rive recap memorable moment rhyme verse fantastical mockingbird lullaby
93,kiteflyer hill,eddi reader perform kiteflyer hill tender look back lose love thomas dolby piano
94,get,eddi reader perform get meditation ted theme use gift talent make difference thomas dolby piano
95,would god create tsunami,day follow tragic south asian tsunami rev tom honey ponder question could love god do answer
96,militant atheism,richard dawkins urge atheist openly state position fight incursion church politics science fiery funny powerful talk
97,comic sendup,satirist tom rielly deliver wicked parody ted conference take laptop plight polar bear people mention one many time work harvard watch special moment tom al gore
98,la vie en rise,feature vocal mischievous accordionist singer rachelle garniez ted house band lead thomas dolby keyboard deliver delightful rendition edith piaf standard la vie en rise
99,technology long tail,chris anderson editor wire explore four key stag viable technology set right price gain market share displace establish technology finally become ubiquitous
100,cape breton fiddle reel time,violinist natalie macmaster ted musical director thomas dolby play dolby original song blue river ethereal duet little dance
101,genesis google,google larry page sergey brin offer peek inside google machine share tidbit international search pattern philanthropic google foundation company dedication innovation employee happiness
102,black men ski,happen black man visit aspen stew band let know
103,ghastly tragedy suburb,jam howard kunstler view public space inspire center civic life physical manifestation common good instead argue america nation place worth care
104,design,ideo david kelley say product design become much le hardware user experience show video new broader approach include footage prada store new york
105,squatter city teach u,rural village worldwide desert billion people flock city live teem squatter camp slum stewart brand say good thing take minute find
106,brain science change compute,treo creator jeff hawkins urge u take new look brain see fast processor memory system store play back experience help u predict intelligently happen next
107,swim giant sunfish,marine biologist tierney thys ask u step water visit world mola mola giant ocean sunfish bask eat jellyfish get massage behemoth offer clue life open sea
108,photosynth connect world image,blaise aguera arca lead dazzle demo photosynth software could transform way look digital image use still photo cull web photosynth build breathtaking dreamscapes let u navigate
109,salvation profit greentech,think go make john doerr say emotional talk climate change investment create world fit daughter live say need invest clean green energy
110,want help africa business,know negative image africa famine disease conflict corruption say ngozi another story happen many african nation one reform economic growth business opportunity
111,rethink desktop bumptop,anand agarawala present bumptop user interface take usual desktop metaphor glorious extreme transform file navigation freewheel playground crumple document wall
112,buddha,hyperlinked world know anything anytime mass enlightenment say buddhist scholar bob thurman first step toward buddha nature
113,memorial grind zero,emotionally charge conversation journalist kurt andersen designer david rockwell discus process build view platform grind zero shortly
114,let rethink america military strategy,bracingly honest talk international security strategist thomas barnett outline war solution founder military sensible breathtaking simplicity break two
115,string quartet play blue room,string quartet ethel perform third movement phil kline suite blue room story search melodic line show deep emotional musicality passionate player
116,tour microsoft virtual earth,microsoft stephen lawler give whirlwind tour virtual earth move cityscape dazzlingly fluidity remarkable feat require stagger amount data bring focus
117,new insight poverty,researcher han rosling use cool data tool show country pull poverty demo dollar street compare household vary income level worldwide something really amaze
118,go moon,bill stone maverick cave explorer plumb earth deepest aby discus effort mine lunar ice space fuel build autonomous robot study jupiter moon europa
119,dangerous meme,start simple tale ant philosopher dan dennett unleash devastate salvo idea make powerful case existence meme concept literally alive
120,potential regenerative medicine,alan russell study regenerative medicine breakthrough way think disease injury use process signal body rebuild
121,web secret story,jonathan harris want make sense emotional world web deep compassion human condition project troll internet find feel look
122,flip think aid africa,emily oster stats aid africa economic perspective reach stun conclusion everything know spread hiv continent wrong
123,spore birth game,friendly presentation wright demo newest game spore promise dazzle user even previous masterpiece
124,mystery,poet rive minute lyrical origami fold history series coincidence surround surreal hour morning
